spectrum_name,brightness,soil_fraction,leaf_fraction
14deg_plot_11_07_0000,0.6154312391433283,0.0,1.0
14deg_plot_11_07_0001,0.501177645187724,0.0,1.0
14deg_plot_11_07_0002,0.4971301926640814,0.05479774948114604,0.9452022505188539
14deg_plot_11_07_0003,0.5544194624928769,0.0,0.9999999999999999
14deg_plot_11_07_0004,0.5430759251913989,0.0,1.0
14deg_plot_11_08_0000 (2),0.4899276995498244,0.0,1.0
14deg_plot_11_08_0000,0.5956077813684285,0.24869604000486795,0.7513039599951317
14deg_plot_11_08_0001 (2),0.49036074177348166,0.0,1.0
14deg_plot_11_08_0001,0.7808519135983363,0.14000314529567173,0.8599968547043282
14deg_plot_11_08_0002 (2),0.4986996606861869,0.0,1.0
14deg_plot_11_08_0002,0.7152221076708982,0.19937706641087127,0.8006229335891287
14deg_plot_11_08_0003 (2),0.5013587289683994,0.0,1.0
14deg_plot_11_08_0003,0.6444896671069998,0.08117242154530002,0.9188275784547
14deg_plot_11_08_0004 (2),0.4428978822451696,0.0,0.9999999999999999
14deg_plot_11_08_0004,0.6927411137625119,0.1058473061423562,0.8941526938576437
14deg_plot_11_09_0000,0.45542118039616475,0.0,1.0
14deg_plot_11_09_0001,0.5092742749001692,0.0,1.0
14deg_plot_11_09_0002,0.3926574491383168,0.0,1.0
14deg_plot_11_09_0003,0.40346795419651477,0.0,1.0
14deg_plot_11_09_0004,0.44071536199067707,0.0,1.0
14deg_plot_11_10_0000,0.6751614497703399,0.0,1.0
14deg_plot_11_10_0001,0.7831306613536326,0.0,1.0
14deg_plot_11_10_0002,1.5284993251385974,0.0,1.0
14deg_plot_11_10_0003,1.3325894389647572,0.0,1.0
14deg_plot_11_10_0004,1.5766907291606582,0.0,1.0
14deg_plot_11_10_0005,1.3420776963662189,0.0,1.0
14deg_plot_11_10_0006,0.5532615566442496,0.0,0.9999999999999999
14deg_plot_11_10_0007,0.4684384943826624,0.0,1.0
14deg_plot_12_07_0000,0.5632227071266778,0.0,0.9999999999999999
14deg_plot_12_07_0001,0.5812159212858653,0.0,1.0
14deg_plot_12_07_0002,0.6685107082721288,0.0,1.0
14deg_plot_12_07_0003,0.5320048702987433,0.0,1.0
14deg_plot_12_07_0004,0.6675372376648363,0.0,1.0
14deg_plot_12_08_0000,0.8022987069208257,0.2802294571170495,0.7197705428829504
14deg_plot_12_08_0001,0.6788628161852689,0.5990662927675228,0.40093370723247723
14deg_plot_12_08_0002,0.7184522027141313,0.6049780909748135,0.39502190902518663
14deg_plot_12_08_0003,0.6955321769760049,0.36153106661056195,0.6384689333894378
14deg_plot_12_08_0004,0.8472809854948132,0.7124903340034463,0.28750966599655353
14deg_plot_12_10_0000,0.7417948609918358,0.43722322082207793,0.5627767791779219
14deg_plot_12_10_0001,0.575810889210683,0.17248163106056166,0.8275183689394385
14deg_plot_12_10_0002,0.7275289280156024,0.19087680363031442,0.8091231963696857
14deg_plot_12_10_0003,0.7694853734092443,0.3249768663716944,0.6750231336283057
14deg_plot_12_10_0004,0.5856805075899205,0.1245793541913126,0.8754206458086874
14deg_plot_13_04_0000,0.6095701003573827,0.2964669881531482,0.7035330118468519
14deg_plot_13_04_0001,0.6616010365501811,0.36106583458801145,0.6389341654119886
14deg_plot_13_04_0002,0.5810065545186962,0.007609287615720771,0.9923907123842792
14deg_plot_13_04_0003,0.5902047671476841,0.1876540900437025,0.8123459099562975
14deg_plot_13_04_0004,0.684646141870594,0.15541029609110396,0.8445897039088961
14deg_plot_13_05_0000,1.0148503639178774,0.8259766706860006,0.17402332931399955
14deg_plot_13_05_0001,0.9648521976631831,0.9587481280565591,0.041251871943440876
14deg_plot_13_05_0002,1.0548994643478482,0.7671595904295897,0.2328404095704102
14deg_plot_13_05_0003,0.9696718502326753,0.8641441971161818,0.13585580288381813
14deg_plot_13_05_0004,0.8297527563206564,0.6956838437630375,0.3043161562369623
14deg_plot_13_10_0000,1.1188299890256135,0.2416087642572666,0.7583912357427333
14deg_plot_13_10_0001,1.1323805231809076,0.6043637646004681,0.39563623539953185
14deg_plot_13_10_0002,1.4423436590431795,0.31439311919026175,0.6856068808097383
14deg_plot_13_10_0003,1.1449585468616015,0.16345981533807666,0.8365401846619234
14deg_plot_13_10_0004,1.2790350573813831,0.5254698180090527,0.4745301819909473
14deg_plot_14_01_0000,0.6837374455143999,0.3360409697169965,0.6639590302830036
14deg_plot_14_01_0001,0.7514937028386337,0.32385563110820315,0.676144368891797
14deg_plot_14_01_0002,0.8101852939880458,0.2840869701682472,0.7159130298317526
14deg_plot_14_01_0003,0.7913779660534355,0.3152507791867077,0.6847492208132924
