spectrum_name,soil_fraction
14deg_plot_17_07_0004,0
14deg_plot_17_08_0000,0
14deg_plot_17_08_0001,0
14deg_plot_17_08_0002,0
14deg_plot_17_08_0003,0
14deg_plot_17_08_0004,0
14deg_plot_17_09_0000,0.113807851
14deg_plot_17_09_0001,0.128540874
14deg_plot_17_09_0002,0.027684013
14deg_plot_17_09_0003,0.073792446
14deg_plot_17_09_0004,0
14deg_plot_17_10_0000,0
14deg_plot_17_10_0001,0
14deg_plot_17_10_0002,0
14deg_plot_17_10_0003,0
14deg_plot_17_10_0004,0
14deg_plot_18_07_0000,0
14deg_plot_18_07_0001,0
14deg_plot_18_07_0002,0.03975096
14deg_plot_18_07_0003,0
14deg_plot_18_07_0004,0.272679646
14deg_plot_18_10_0000,0
14deg_plot_18_10_0001,0
14deg_plot_18_10_0002,0
14deg_plot_18_10_0003,0
14deg_plot_18_10_0004,0
